path,case_id,family,expert_judgment,level,level_name,n_gaps,admissible,k,perm_m,C_mn,A_e,gap,sound,monotone_m,monotone_n
nonresolving,M02,induction,REV,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
