fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-2.0, 'advective', 'vulnerable')",-2.0,advective,vulnerable,1722,0.2059,0.1372,0.05,2.0,REV,AEX,REV,-1.69,0.0,budbreak,advective,1
"(-2.0, 'advective', 'vulnerable')",-2.0,advective,vulnerable,1722,0.2059,0.1372,0.1,1.0,REV,AEX,REV,-1.69,0.0,budbreak,advective,1
"(-2.0, 'advective', 'vulnerable')",-2.0,advective,vulnerable,1722,0.2059,0.1372,0.2,0.5,REV,AEX,REV,-1.69,0.0,budbreak,advective,1
"(-2.0, 'advective', 'vulnerable')",-2.0,advective,vulnerable,1722,0.2059,0.1372,0.5,0.2,REV,REV,REV,-1.69,0.0,budbreak,advective,0
"(4.0, 'radiative', 'vulnerable')",4.0,radiative,vulnerable,306,0.0,0.0,0.05,2.0,REV,REV,REV,2.38,0.0,leaf_out,radiative,0
"(4.0, 'radiative', 'vulnerable')",4.0,radiative,vulnerable,306,0.0,0.0,0.1,1.0,REV,REV,REV,2.38,0.0,leaf_out,radiative,0
"(4.0, 'radiative', 'vulnerable')",4.0,radiative,vulnerable,306,0.0,0.0,0.2,0.5,REV,REV,REV,2.38,0.0,leaf_out,radiative,0
"(4.0, 'radiative', 'vulnerable')",4.0,radiative,vulnerable,306,0.0,0.0,0.5,0.2,REV,REV,REV,2.38,0.0,leaf_out,radiative,0
"(-5.0, 'radiative', 'hardy')",-5.0,radiative,hardy,606,0.8234,0.0896,0.05,2.0,REV,AEX,REV,-2.59,0.0193,swollen,radiative,1
"(-5.0, 'radiative', 'hardy')",-5.0,radiative,hardy,606,0.8234,0.0896,0.1,1.0,REV,AEX,REV,-2.59,0.0193,swollen,radiative,1
"(-5.0, 'radiative', 'hardy')",-5.0,radiative,hardy,606,0.8234,0.0896,0.2,0.5,REV,AEX,REV,-2.59,0.0193,swollen,radiative,1
"(-5.0, 'radiative', 'hardy')",-5.0,radiative,hardy,606,0.8234,0.0896,0.5,0.2,REV,AEX,REV,-2.59,0.0193,swollen,radiative,1
"(-3.0, 'radiative', 'vulnerable')",-3.0,radiative,vulnerable,1606,0.4037,0.2302,0.05,2.0,REV,AEX,REV,-2.4,0.0,leaf_out,radiative,1
"(-3.0, 'radiative', 'vulnerable')",-3.0,radiative,vulnerable,1606,0.4037,0.2302,0.1,1.0,REV,AEX,REV,-2.4,0.0,leaf_out,radiative,1
"(-3.0, 'radiative', 'vulnerable')",-3.0,radiative,vulnerable,1606,0.4037,0.2302,0.2,0.5,REV,AEX,REV,-2.4,0.0,leaf_out,radiative,1
"(-3.0, 'radiative', 'vulnerable')",-3.0,radiative,vulnerable,1606,0.4037,0.2302,0.5,0.2,REV,REV,REV,-2.4,0.0,leaf_out,radiative,0
"(0.0, 'radiative', 'hardy')",0.0,radiative,hardy,1885,0.0239,0.004,0.05,2.0,REV,REV,REV,-0.91,0.0,swollen,radiative,0
"(0.0, 'radiative', 'hardy')",0.0,radiative,hardy,1885,0.0239,0.004,0.1,1.0,REV,REV,REV,-0.91,0.0,swollen,radiative,0
"(0.0, 'radiative', 'hardy')",0.0,radiative,hardy,1885,0.0239,0.004,0.2,0.5,REV,REV,REV,-0.91,0.0,swollen,radiative,0
"(0.0, 'radiative', 'hardy')",0.0,radiative,hardy,1885,0.0239,0.004,0.5,0.2,REV,REV,REV,-0.91,0.0,swollen,radiative,0
"(-6.0, 'advective', 'vulnerable')",-6.0,advective,vulnerable,331,0.9357,0.1499,0.05,2.0,REV,AEX,REV,-1.83,0.0,leaf_out,advective,1
"(-6.0, 'advective', 'vulnerable')",-6.0,advective,vulnerable,331,0.9357,0.1499,0.1,1.0,REV,AEX,REV,-1.83,0.0,leaf_out,advective,1
"(-6.0, 'advective', 'vulnerable')",-6.0,advective,vulnerable,331,0.9357,0.1499,0.2,0.5,REV,AEX,REV,-1.83,0.0,leaf_out,advective,1
"(-6.0, 'advective', 'vulnerable')",-6.0,advective,vulnerable,331,0.9357,0.1499,0.5,0.2,REV,AEX,REV,-1.83,0.0,leaf_out,advective,1
"(2.0, 'advective', 'hardy')",2.0,advective,hardy,824,0.0008,0.0009,0.05,2.0,REV,REV,REV,3.3,0.0,dormant,advective,0
"(2.0, 'advective', 'hardy')",2.0,advective,hardy,824,0.0008,0.0009,0.1,1.0,REV,REV,REV,3.3,0.0,dormant,advective,0
"(2.0, 'advective', 'hardy')",2.0,advective,hardy,824,0.0008,0.0009,0.2,0.5,REV,REV,REV,3.3,0.0,dormant,advective,0
"(2.0, 'advective', 'hardy')",2.0,advective,hardy,824,0.0008,0.0009,0.5,0.2,REV,REV,REV,3.3,0.0,dormant,advective,0
"(3.0, 'advective', 'vulnerable')",3.0,advective,vulnerable,576,0.0001,0.0,0.05,2.0,REV,REV,REV,0.75,0.0,budbreak,advective,0
"(3.0, 'advective', 'vulnerable')",3.0,advective,vulnerable,576,0.0001,0.0,0.1,1.0,REV,REV,REV,0.75,0.0,budbreak,advective,0
"(3.0, 'advective', 'vulnerable')",3.0,advective,vulnerable,576,0.0001,0.0,0.2,0.5,REV,REV,REV,0.75,0.0,budbreak,advective,0
"(3.0, 'advective', 'vulnerable')",3.0,advective,vulnerable,576,0.0001,0.0,0.5,0.2,REV,REV,REV,0.75,0.0,budbreak,advective,0
"(4.0, 'advective', 'hardy')",4.0,advective,hardy,213,0.0,0.0,0.05,2.0,REV,REV,REV,3.38,0.0,swollen,advective,0
"(4.0, 'advective', 'hardy')",4.0,advective,hardy,213,0.0,0.0,0.1,1.0,REV,REV,REV,3.38,0.0,swollen,advective,0
"(4.0, 'advective', 'hardy')",4.0,advective,hardy,213,0.0,0.0,0.2,0.5,REV,REV,REV,3.38,0.0,swollen,advective,0
"(4.0, 'advective', 'hardy')",4.0,advective,hardy,213,0.0,0.0,0.5,0.2,REV,REV,REV,3.38,0.0,swollen,advective,0
"(-6.0, 'radiative', 'vulnerable')",-6.0,radiative,vulnerable,390,0.9357,0.2508,0.05,2.0,REV,AEX,REV,-2.44,0.0,budbreak,radiative,1
"(-6.0, 'radiative', 'vulnerable')",-6.0,radiative,vulnerable,390,0.9357,0.2508,0.1,1.0,REV,AEX,REV,-2.44,0.0,budbreak,radiative,1
